"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"587","50.483904260","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-88dBm","Data, SN=1670, FN=0, Flags=.p....F."
"588","50.584923152","Sagemcom_7d:5b:41","Broadcast","802.11","432","-88dBm","Beacon frame, SN=1671, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"589","50.687307899","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1673, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"590","50.789701571","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1674, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"591","50.892418336","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1675, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"592","50.994466992","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1676, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"593","51.096888756","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1677, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"594","51.199277363","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1678, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"595","51.301671624","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1679, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"596","51.320550613","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-84dBm","Clear-to-send, Flags=........"
"597","51.323179176","","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (RA)","802.11","36","-84dBm","Clear-to-send, Flags=........"
"598","51.404111547","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1680, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"599","51.405503273","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-84dBm","Data, SN=1681, FN=0, Flags=.p....F."
"600","51.506790161","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1682, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"601","51.610100632","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1683, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"602","51.714443628","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1684, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"603","51.816721409","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1685, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"604","51.917319364","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1686, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"605","52.018469302","Sagemcom_7d:5b:41","Broadcast","802.11","290","-84dBm","Beacon frame, SN=1687, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"606","52.120844368","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1688, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"607","52.325675686","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1690, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"608","52.428110256","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1691, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"609","52.429533433","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-88dBm","Data, SN=1692, FN=0, Flags=.p....F."
"610","52.530501100","Sagemcom_7d:5b:41","Broadcast","802.11","432","-86dBm","Beacon frame, SN=1693, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"611","52.632951591","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1695, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"612","52.735283193","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1696, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"613","52.804493381","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (TA)","Sagemcom_7d:5b:41 (5c:b1:3e:7d:5b:41) (RA)","802.11","108","-96dBm","Request-to-send, Flags=........"
"614","52.810614921","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (TA)","Sagemcom_7d:5b:41 (5c:b1:3e:7d:5b:41) (RA)","802.11","108","-96dBm","Request-to-send, Flags=........"
"615","52.840495551","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1697, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"616","52.940056764","Sagemcom_7d:5b:41","Broadcast","802.11","290","-96dBm","Beacon frame, SN=1698, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"617","53.010120668","RivetNet_f4:86:f7 (9c:b6:d0:f4:86:f7) (TA)","Sagemcom_7d:5b:41 (5c:b1:3e:7d:5b:41) (RA)","802.11","108","-96dBm","Request-to-send, Flags=........"
"618","53.047638484","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1699, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"619","53.144877860","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1700, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"620","53.247240076","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1701, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"621","53.349664311","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1702, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"622","53.452069393","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1703, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"623","53.453517666","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-88dBm","Data, SN=1704, FN=0, Flags=.p....F."
"624","53.554392882","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1705, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"625","53.656882461","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1706, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"626","53.862975880","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1708, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"627","53.965295163","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1709, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"628","54.066409807","Sagemcom_7d:5b:41","Broadcast","802.11","290","-90dBm","Beacon frame, SN=1710, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"629","54.271226560","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1712, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"630","54.476125818","Sagemcom_7d:5b:41","Broadcast","802.11","290","-88dBm","Beacon frame, SN=1714, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"631","54.477491186","Sagemcom_7d:5b:3f","Broadcast","802.11","175","-88dBm","Data, SN=1715, FN=0, Flags=.p....F."
"632","54.578438301","Sagemcom_7d:5b:41","Broadcast","802.11","432","-86dBm","Beacon frame, SN=1716, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F[Malformed Packet]"
"633","54.680869146","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1718, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
"634","54.783222300","Sagemcom_7d:5b:41","Broadcast","802.11","290","-86dBm","Beacon frame, SN=1719, FN=0, Flags=........, BI=100, SSID=Optus_7D5B3F"
